Country_name,Gdp,Population,Year and Popuation
Guatemala,24.76%,"17,915,568","[('2020', '17,915,568'), ('2019', '17,581,472'), ('2018', '17,247,849'), ('2017', '16,914,970'), ('2016', '16,583,076'), ('2015', '16,252,429'), ('2010', '14,630,417'), ('2005', '13,096,028'), ('2000', '11,650,743'), ('1995', '10,408,489'), ('1990', '9,263,813'), ('1985', '8,240,060'), ('1980', '7,283,459'), ('1975', '6,433,728'), ('1970', '5,621,792'), ('1965', '4,869,716'), ('1960', '4,210,747'), ('1955', '3,625,300'), ('1950', '3,114,957')]"
Iceland,33.13%,"341,243","[('2020', '341,243'), ('2019', '339,031'), ('2018', '336,713'), ('2017', '334,393'), ('2016', '332,206'), ('2015', '330,243'), ('2010', '320,328'), ('2005', '294,979'), ('2000', '280,435'), ('1995', '267,629'), ('1990', '255,043'), ('1985', '241,582'), ('1980', '228,262'), ('1975', '218,070'), ('1970', '204,426'), ('1965', '192,313'), ('1960', '175,592'), ('1955', '157,642'), ('1950', '142,659')]"
Denmark,33.61%,"5,792,202","[('2020', '5,792,202'), ('2019', '5,771,876'), ('2018', '5,752,126'), ('2017', '5,732,274'), ('2016', '5,711,349'), ('2015', '5,688,695'), ('2010', '5,554,844'), ('2005', '5,421,702'), ('2000', '5,341,194'), ('1995', '5,232,704'), ('1990', '5,141,115'), ('1985', '5,114,243'), ('1980', '5,123,945'), ('1975', '5,062,729'), ('1970', '4,931,241'), ('1965', '4,760,460'), ('1960', '4,581,101'), ('1955', '4,440,778'), ('1950', '4,268,271')]"
Lithuania,33.79%,"2,722,289","[('2020', '2,722,289'), ('2019', '2,759,627'), ('2018', '2,801,264'), ('2017', '2,845,414'), ('2016', '2,889,557'), ('2015', '2,931,880'), ('2010', '3,123,816'), ('2005', '3,344,268'), ('2000', '3,501,839'), ('1995', '3,626,612'), ('1990', '3,696,035'), ('1985', '3,562,397'), ('1980', '3,430,760'), ('1975', '3,298,879'), ('1970', '3,136,586'), ('1965', '2,966,165'), ('1960', '2,769,876'), ('1955', '2,628,751'), ('1950', '2,567,403')]"
Taiwan,33.91%,"23,816,775","[('2020', '23,816,775'), ('2019', '23,773,876'), ('2018', '23,726,460'), ('2017', '23,674,546'), ('2016', '23,618,200'), ('2015', '23,557,477'), ('2010', '23,187,551'), ('2005', '22,705,713'), ('2000', '21,966,527'), ('1995', '21,356,033'), ('1990', '20,478,520'), ('1985', '19,303,404'), ('1980', '17,905,458'), ('1975', '16,464,927'), ('1970', '14,924,455'), ('1965', '12,901,155'), ('1960', '10,876,150'), ('1955', '9,189,972'), ('1950', '7,602,361')]"
Bangladesh,34.81%,"164,689,383","[('2020', '164,689,383'), ('2019', '163,046,161'), ('2018', '161,376,708'), ('2017', '159,685,424'), ('2016', '157,977,153'), ('2015', '156,256,276'), ('2010', '147,575,430'), ('2005', '139,035,505'), ('2000', '127,657,854'), ('1995', '115,169,930'), ('1990', '103,171,956'), ('1985', '90,764,183'), ('1980', '79,639,491'), ('1975', '70,066,301'), ('1970', '64,232,482'), ('1965', '55,385,112'), ('1960', '48,013,504'), ('1955', '42,086,301'), ('1950', '37,894,681')]"
Bosnia And Herzegovina,36.34%,"3,280,819","[('2020', '3,280,819'), ('2019', '3,301,000'), ('2018', '3,323,925'), ('2017', '3,351,525'), ('2016', '3,386,266'), ('2015', '3,429,361'), ('2010', '3,705,472'), ('2005', '3,765,331'), ('2000', '3,751,176'), ('1995', '3,829,050'), ('1990', '4,463,423'), ('1985', '4,392,131'), ('1980', '4,179,855'), ('1975', '3,985,105'), ('1970', '3,760,529'), ('1965', '3,535,643'), ('1960', '3,225,668'), ('1955', '2,936,309'), ('1950', '2,661,296')]"
Tanzania,36.57%,"59,734,218","[('2020', '59,734,218'), ('2019', '58,005,463'), ('2018', '56,313,438'), ('2017', '54,660,339'), ('2016', '53,049,230'), ('2015', '51,482,633'), ('2010', '44,346,525'), ('2005', '38,450,320'), ('2000', '33,499,180'), ('1995', '29,649,135'), ('1990', '25,203,845'), ('1985', '21,633,796'), ('1980', '18,538,259'), ('1975', '15,885,229'), ('1970', '13,535,481'), ('1965', '11,634,832'), ('1960', '10,052,152'), ('1955', '8,729,662'), ('1950', '7,649,761')]"
Comoros,35.08%,"869,601","[('2020', '869,601'), ('2019', '850,886'), ('2018', '832,322'), ('2017', '813,892'), ('2016', '795,592'), ('2015', '777,424'), ('2010', '689,692'), ('2005', '611,627'), ('2000', '542,357'), ('1995', '475,394'), ('1990', '411,594'), ('1985', '355,337'), ('1980', '307,829'), ('1975', '257,290'), ('1970', '230,054'), ('1965', '207,424'), ('1960', '191,121'), ('1955', '175,903'), ('1950', '159,459')]"
Haiti,36.23%,"11,402,528","[('2020', '11,402,528'), ('2019', '11,263,077'), ('2018', '11,123,178'), ('2017', '10,982,366'), ('2016', '10,839,970'), ('2015', '10,695,542'), ('2010', '9,949,322'), ('2005', '9,195,288'), ('2000', '8,463,806'), ('1995', '7,744,503'), ('1990', '7,037,917'), ('1985', '6,337,273'), ('1980', '5,643,173'), ('1975', '5,094,577'), ('1970', '4,676,230'), ('1965', '4,258,732'), ('1960', '3,866,159'), ('1955', '3,514,074'), ('1950', '3,221,283')]"
Norway,36.75%,"5,421,241","[('2020', '5,421,241'), ('2019', '5,378,857'), ('2018', '5,337,962'), ('2017', '5,296,326'), ('2016', '5,250,949'), ('2015', '5,199,836'), ('2010', '4,885,878'), ('2005', '4,632,364'), ('2000', '4,499,367'), ('1995', '4,366,995'), ('1990', '4,247,285'), ('1985', '4,153,105'), ('1980', '4,086,076'), ('1975', '4,008,031'), ('1970', '3,876,060'), ('1965', '3,724,463'), ('1960', '3,582,507'), ('1955', '3,430,340'), ('1950', '3,265,273')]"
Mali,36.93%,"20,250,833","[('2020', '20,250,833'), ('2019', '19,658,031'), ('2018', '19,077,749'), ('2017', '18,512,430'), ('2016', '17,965,443'), ('2015', '17,438,778'), ('2010', '15,049,353'), ('2005', '12,775,516'), ('2000', '10,946,445'), ('1995', '9,585,653'), ('1990', '8,449,913'), ('1985', '7,831,889'), ('1980', '7,090,126'), ('1975', '6,482,278'), ('1970', '5,949,045'), ('1965', '5,568,484'), ('1960', '5,263,733'), ('1955', '4,975,398'), ('1950', '4,708,429')]"
Latvia,36.66%,"1,886,198","[('2020', '1,886,198'), ('2019', '1,906,743'), ('2018', '1,928,459'), ('2017', '1,951,097'), ('2016', '1,974,266'), ('2015', '1,997,674'), ('2010', '2,118,861'), ('2005', '2,251,993'), ('2000', '2,384,164'), ('1995', '2,508,480'), ('1990', '2,664,439'), ('1985', '2,580,758'), ('1980', '2,521,391'), ('1975', '2,469,444'), ('1970', '2,378,021'), ('1965', '2,266,943'), ('1960', '2,129,586'), ('1955', '2,001,574'), ('1950', '1,926,568')]"
Sweden,37.23%,"10,099,265","[('2020', '10,099,265'), ('2019', '10,036,379'), ('2018', '9,971,638'), ('2017', '9,904,896'), ('2016', '9,836,007'), ('2015', '9,764,950'), ('2010', '9,390,168'), ('2005', '9,038,623'), ('2000', '8,881,640'), ('1995', '8,836,420'), ('1990', '8,567,384'), ('1985', '8,357,652'), ('1980', '8,316,338'), ('1975', '8,197,340'), ('1970', '8,054,916'), ('1965', '7,745,673'), ('1960', '7,482,543'), ('1955', '7,262,623'), ('1950', '7,009,912')]"
Equatorial Guinea,37.49%,"1,402,985","[('2020', '1,402,985'), ('2019', '1,355,986'), ('2018', '1,308,975'), ('2017', '1,262,002'), ('2016', '1,215,180'), ('2015', '1,168,568'), ('2010', '943,639'), ('2005', '749,535'), ('2000', '606,181'), ('1995', '496,768'), ('1990', '419,188'), ('1985', '352,118'), ('1980', '249,929'), ('1975', '255,800'), ('1970', '303,982'), ('1965', '276,300'), ('1960', '255,333'), ('1955', '239,873'), ('1950', '225,537')]"
South Sudan,37.81%,"11,193,725","[('2020', '11,193,725'), ('2019', '11,062,113'), ('2018', '10,975,927'), ('2017', '10,910,763'), ('2016', '10,832,518'), ('2015', '10,715,658'), ('2010', '9,508,364'), ('2005', '7,535,932'), ('2000', '6,199,394'), ('1995', '5,118,083'), ('1990', '5,492,623'), ('1985', '5,220,747'), ('1980', '4,502,604'), ('1975', '3,941,618'), ('1970', '3,494,004'), ('1965', '3,133,150'), ('1960', '2,842,724'), ('1955', '2,619,712'), ('1950', '2,482,301')]"
Bulgaria,19.33%,"6,948,445","[('2020', '6,948,445'), ('2019', '7,000,119'), ('2018', '7,051,608'), ('2017', '7,102,444'), ('2016', '7,151,953'), ('2015', '7,199,741'), ('2010', '7,425,008'), ('2005', '7,686,962'), ('2000', '7,997,957'), ('1995', '8,379,308'), ('1990', '8,841,458'), ('1985', '8,975,361'), ('1980', '8,878,791'), ('1975', '8,738,392'), ('1970', '8,507,551'), ('1965', '8,222,589'), ('1960', '7,885,607'), ('1955', '7,561,493'), ('1950', '7,250,999')]"
Botswana,12.78%,"2,351,627","[('2020', '2,351,627'), ('2019', '2,303,697'), ('2018', '2,254,068'), ('2017', '2,205,080'), ('2016', '2,159,927'), ('2015', '2,120,716'), ('2010', '1,987,105'), ('2005', '1,799,078'), ('2000', '1,643,334'), ('1995', '1,469,174'), ('1990', '1,286,756'), ('1985', '1,069,582'), ('1980', '897,868'), ('1975', '741,355'), ('1970', '627,715'), ('1965', '559,994'), ('1960', '502,745'), ('1955', '463,359'), ('1950', '412,531')]"
Papua New Guinea,37.72%,"8,947,024","[('2020', '8,947,024'), ('2019', '8,776,109'), ('2018', '8,606,323'), ('2017', '8,438,036'), ('2016', '8,271,762'), ('2015', '8,107,775'), ('2010', '7,310,507'), ('2005', '6,494,903'), ('2000', '5,847,586'), ('1995', '5,187,060'), ('1990', '4,615,839'), ('1985', '4,081,030'), ('1980', '3,571,205'), ('1975', '3,139,945'), ('1970', '2,783,121'), ('1965', '2,485,437'), ('1960', '2,255,859'), ('1955', '2,086,247'), ('1950', '2,002,148')]"
Panama,37.81%,"4,314,767","[('2020', '4,314,767'), ('2019', '4,246,439'), ('2018', '4,176,869'), ('2017', '4,106,769'), ('2016', '4,037,078'), ('2015', '3,968,487'), ('2010', '3,642,687'), ('2005', '3,330,217'), ('2000', '3,030,328'), ('1995', '2,739,668'), ('1990', '2,470,947'), ('1985', '2,219,201'), ('1980', '1,978,487'), ('1975', '1,745,138'), ('1970', '1,519,285'), ('1965', '1,314,677'), ('1960', '1,132,997'), ('1955', '981,080'), ('1950', '859,659')]"
Romania,37.99%,"19,237,691","[('2020', '19,237,691'), ('2019', '19,364,557'), ('2018', '19,506,114'), ('2017', '19,653,969'), ('2016', '19,796,285'), ('2015', '19,925,175'), ('2010', '20,471,864'), ('2005', '21,417,291'), ('2000', '22,137,419'), ('1995', '22,964,754'), ('1990', '23,489,160'), ('1985', '23,071,274'), ('1980', '22,615,639'), ('1975', '21,665,643'), ('1970', '20,548,911'), ('1965', '19,379,568'), ('1960', '18,613,939'), ('1955', '17,483,935'), ('1950', '16,236,296')]"
Lesotho,37.95%,"2,142,249","[('2020', '2,142,249'), ('2019', '2,125,268'), ('2018', '2,108,328'), ('2017', '2,091,534'), ('2016', '2,075,030'), ('2015', '2,059,021'), ('2010', '1,995,581'), ('2005', '1,996,114'), ('2000', '2,032,804'), ('1995', '1,898,598'), ('1990', '1,703,747'), ('1985', '1,526,131'), ('1980', '1,340,255'), ('1975', '1,160,792'), ('1970', '1,028,926'), ('1965', '922,306'), ('1960', '837,270'), ('1955', '766,763'), ('1950', '704,686')]"
Philippines,39.10%,"109,581,078","[('2020', '109,581,078'), ('2019', '108,116,615'), ('2018', '106,651,394'), ('2017', '105,172,925'), ('2016', '103,663,816'), ('2015', '102,113,212'), ('2010', '93,966,780'), ('2005', '86,326,250'), ('2000', '77,991,755'), ('1995', '69,784,088'), ('1990', '61,895,160'), ('1985', '54,275,822'), ('1980', '47,357,743'), ('1975', '41,285,742'), ('1970', '35,803,594'), ('1965', '30,909,988'), ('1960', '26,269,734'), ('1955', '22,177,058'), ('1950', '18,580,490')]"
Cameroon,38.11%,"26,545,863","[('2020', '26,545,863'), ('2019', '25,876,380'), ('2018', '25,216,267'), ('2017', '24,566,073'), ('2016', '23,926,551'), ('2015', '23,298,368'), ('2010', '20,341,241'), ('2005', '17,733,410'), ('2000', '15,513,945'), ('1995', '13,599,988'), ('1990', '11,780,088'), ('1985', '10,070,806'), ('1980', '8,621,406'), ('1975', '7,451,054'), ('1970', '6,519,762'), ('1965', '5,773,543'), ('1960', '5,176,918'), ('1955', '4,706,995'), ('1950', '4,307,023')]"
Switzerland,39.49%,"8,654,622","[('2020', '8,654,622'), ('2019', '8,591,365'), ('2018', '8,525,611'), ('2017', '8,455,804'), ('2016', '8,379,917'), ('2015', '8,296,775'), ('2010', '7,808,675'), ('2005', '7,386,816'), ('2000', '7,143,761'), ('1995', '6,995,521'), ('1990', '6,652,868'), ('1985', '6,435,424'), ('1980', '6,283,832'), ('1975', '6,337,025'), ('1970', '6,150,852'), ('1965', '5,812,851'), ('1960', '5,280,680'), ('1955', '4,957,066'), ('1950', '4,668,086')]"
South Korea,40.54%,"51,269,185","[('2020', '51,269,185'), ('2019', '51,225,308'), ('2018', '51,171,706'), ('2017', '51,096,415'), ('2016', '50,983,457'), ('2015', '50,823,093'), ('2010', '49,545,636'), ('2005', '48,701,073'), ('2000', '47,379,241'), ('1995', '45,292,522'), ('1990', '42,918,419'), ('1985', '40,804,402'), ('1980', '38,045,607'), ('1975', '35,378,661'), ('1970', '32,195,681'), ('1965', '28,895,558'), ('1960', '25,329,515'), ('1955', '21,514,570'), ('1950', '19,211,385')]"
Nicaragua,40.88%,"6,624,554","[('2020', '6,624,554'), ('2019', '6,545,502'), ('2018', '6,465,501'), ('2017', '6,384,846'), ('2016', '6,303,974'), ('2015', '6,223,240'), ('2010', '5,824,065'), ('2005', '5,438,690'), ('2000', '5,069,302'), ('1995', '4,652,185'), ('1990', '4,173,434'), ('1985', '3,734,341'), ('1980', '3,265,519'), ('1975', '2,806,857'), ('1970', '2,406,513'), ('1965', '2,068,381'), ('1960', '1,773,129'), ('1955', '1,508,102'), ('1950', '1,294,992')]"
Australia,41.10%,"25,499,884","[('2020', '25,499,884'), ('2019', '25,203,198'), ('2018', '24,898,152'), ('2017', '24,584,620'), ('2016', '24,262,712'), ('2015', '23,932,502'), ('2010', '22,154,679'), ('2005', '20,178,540'), ('2000', '18,991,431'), ('1995', '17,993,074'), ('1990', '16,960,597'), ('1985', '15,663,663'), ('1980', '14,588,405'), ('1975', '13,773,288'), ('1970', '12,793,034'), ('1965', '11,313,195'), ('1960', '10,242,076'), ('1955', '9,165,707'), ('1950', '8,177,342')]"
Madagascar,41.02%,"27,691,018","[('2020', '27,691,018'), ('2019', '26,969,307'), ('2018', '26,262,313'), ('2017', '25,570,512'), ('2016', '24,894,370'), ('2015', '24,234,088'), ('2010', '21,151,640'), ('2005', '18,336,724'), ('2000', '15,766,806'), ('1995', '13,475,400'), ('1990', '11,598,633'), ('1985', '10,063,495'), ('1980', '8,716,553'), ('1975', '7,556,026'), ('1970', '6,576,305'), ('1965', '5,769,218'), ('1960', '5,099,373'), ('1955', '4,543,542'), ('1950', '4,083,554')]"
Zimbabwe,20.99%,"14,862,924","[('2020', '14,862,924'), ('2019', '14,645,468'), ('2018', '14,438,802'), ('2017', '14,236,595'), ('2016', '14,030,331'), ('2015', '13,814,629'), ('2010', '12,697,723'), ('2005', '12,076,699'), ('2000', '11,881,477'), ('1995', '11,410,714'), ('1990', '10,432,421'), ('1985', '8,877,489'), ('1980', '7,408,624'), ('1975', '6,293,875'), ('1970', '5,289,303'), ('1965', '4,471,177'), ('1960', '3,776,681'), ('1955', '3,213,286'), ('1950', '2,746,852')]"
Thailand,41.47%,"69,799,978","[('2020', '69,799,978'), ('2019', '69,625,582'), ('2018', '69,428,453'), ('2017', '69,209,810'), ('2016', '68,971,308'), ('2015', '68,714,511'), ('2010', '67,195,028'), ('2005', '65,416,189'), ('2000', '62,952,642'), ('1995', '59,467,274'), ('1990', '56,558,186'), ('1985', '52,026,901'), ('1980', '47,374,472'), ('1975', '42,326,312'), ('1970', '36,884,536'), ('1965', '31,822,660'), ('1960', '27,397,207'), ('1955', '23,711,132'), ('1950', '20,710,360')]"
Luxembourg,21.61%,"625,978","[('2020', '625,978'), ('2019', '615,729'), ('2018', '604,245'), ('2017', '591,910'), ('2016', '579,264'), ('2015', '566,741'), ('2010', '507,889'), ('2005', '457,842'), ('2000', '436,103'), ('1995', '408,149'), ('1990', '381,791'), ('1985', '366,884'), ('1980', '364,038'), ('1975', '353,983'), ('1970', '339,668'), ('1965', '330,161'), ('1960', '314,588'), ('1955', '305,261'), ('1950', '296,001')]"
Honduras,40.80%,"9,904,607","[('2020', '9,904,607'), ('2019', '9,746,117'), ('2018', '9,587,522'), ('2017', '9,429,013'), ('2016', '9,270,795'), ('2015', '9,112,916'), ('2010', '8,317,470'), ('2005', '7,458,985'), ('2000', '6,574,509'), ('1995', '5,709,014'), ('1990', '4,955,303'), ('1985', '4,281,161'), ('1980', '3,678,279'), ('1975', '3,153,253'), ('1970', '2,716,654'), ('1965', '2,346,015'), ('1960', '2,038,632'), ('1955', '1,771,352'), ('1950', '1,546,724')]"
Central African Republic,42.25%,"4,829,767","[('2020', '4,829,767'), ('2019', '4,745,185'), ('2018', '4,666,368'), ('2017', '4,596,023'), ('2016', '4,537,686'), ('2015', '4,493,170'), ('2010', '4,386,768'), ('2005', '4,038,382'), ('2000', '3,640,427'), ('1995', '3,222,656'), ('1990', '2,806,734'), ('1985', '2,542,169'), ('1980', '2,199,356'), ('1975', '1,958,367'), ('1970', '1,811,144'), ('1965', '1,639,706'), ('1960', '1,501,668'), ('1955', '1,401,341'), ('1950', '1,326,652')]"
Myanmar,39.19%,"54,409,800","[('2020', '54,409,800'), ('2019', '54,045,420'), ('2018', '53,708,320'), ('2017', '53,382,523'), ('2016', '53,045,201'), ('2015', '52,680,726'), ('2010', '50,600,818'), ('2005', '48,949,924'), ('2000', '46,719,701'), ('1995', '43,901,598'), ('1990', '41,335,199'), ('1985', '37,977,086'), ('1980', '34,224,313'), ('1975', '30,611,095'), ('1970', '27,269,069'), ('1965', '24,259,359'), ('1960', '21,736,942'), ('1955', '19,550,071'), ('1950', '17,779,628')]"
Malta,42.46%,"441,543","[('2020', '441,543'), ('2019', '440,372'), ('2018', '439,248'), ('2017', '437,933'), ('2016', '436,097'), ('2015', '433,559'), ('2010', '414,253'), ('2005', '404,653'), ('2000', '393,645'), ('1995', '376,896'), ('1990', '362,015'), ('1985', '346,250'), ('1980', '331,497'), ('1975', '322,356'), ('1970', '320,545'), ('1965', '322,242'), ('1960', '312,973'), ('1955', '313,526'), ('1950', '312,003')]"
Chad,42.91%,"16,425,864","[('2020', '16,425,864'), ('2019', '15,946,876'), ('2018', '15,477,729'), ('2017', '15,016,753'), ('2016', '14,561,660'), ('2015', '14,110,975'), ('2010', '11,952,136'), ('2005', '10,096,633'), ('2000', '8,355,654'), ('1995', '7,010,145'), ('1990', '5,963,252'), ('1985', '5,095,401'), ('1980', '4,514,430'), ('1975', '4,088,564'), ('1970', '3,643,604'), ('1965', '3,309,586'), ('1960', '3,001,609'), ('1955', '2,735,198'), ('1950', '2,502,319')]"
Uganda,44.81%,"45,741,007","[('2020', '45,741,007'), ('2019', '44,269,594'), ('2018', '42,729,036'), ('2017', '41,166,588'), ('2016', '39,649,166'), ('2015', '38,225,453'), ('2010', '32,428,167'), ('2005', '27,684,585'), ('2000', '23,650,172'), ('1995', '20,413,152'), ('1990', '17,354,392'), ('1985', '14,559,355'), ('1980', '12,442,334'), ('1975', '10,737,403'), ('1970', '9,405,600'), ('1965', '7,986,066'), ('1960', '6,767,095'), ('1955', '5,888,793'), ('1950', '5,158,190')]"
Guinea,45.98%,"13,132,795","[('2020', '13,132,795'), ('2019', '12,771,246'), ('2018', '12,414,293'), ('2017', '12,067,519'), ('2016', '11,738,429'), ('2015', '11,432,088'), ('2010', '10,192,176'), ('2005', '9,109,581'), ('2000', '8,240,730'), ('1995', '7,269,625'), ('1990', '6,352,283'), ('1985', '5,470,702'), ('1980', '4,871,435'), ('1975', '4,491,248'), ('1970', '4,154,605'), ('1965', '3,801,705'), ('1960', '3,494,162'), ('1955', '3,229,649'), ('1950', '3,012,951')]"
Slovakia,46.90%,"5,459,642","[('2020', '5,459,642'), ('2019', '5,457,013'), ('2018', '5,453,014'), ('2017', '5,447,900'), ('2016', '5,442,003'), ('2015', '5,435,611'), ('2010', '5,404,294'), ('2005', '5,398,963'), ('2000', '5,399,211'), ('1995', '5,375,470'), ('1990', '5,288,454'), ('1985', '5,166,798'), ('1980', '4,996,731'), ('1975', '4,752,540'), ('1970', '4,538,841'), ('1965', '4,383,452'), ('1960', '4,140,129'), ('1955', '3,815,402'), ('1950', '3,436,573')]"
Burkina Faso,42.47%,"20,903,273","[('2020', '20,903,273'), ('2019', '20,321,378'), ('2018', '19,751,466'), ('2017', '19,193,234'), ('2016', '18,646,357'), ('2015', '18,110,624'), ('2010', '15,605,217'), ('2005', '13,421,930'), ('2000', '11,607,942'), ('1995', '10,089,878'), ('1990', '8,811,034'), ('1985', '7,727,907'), ('1980', '6,822,843'), ('1975', '6,154,545'), ('1970', '5,624,600'), ('1965', '5,174,870'), ('1960', '4,829,288'), ('1955', '4,517,155'), ('1950', '4,284,461')]"
Georgia,45.05%,"3,989,167","[('2020', '3,989,167'), ('2019', '3,996,765'), ('2018', '4,002,942'), ('2017', '4,008,716'), ('2016', '4,015,450'), ('2015', '4,024,183'), ('2010', '4,099,099'), ('2005', '4,210,168'), ('2000', '4,362,187'), ('1995', '4,976,260'), ('1990', '5,410,399'), ('1985', '5,211,454'), ('1980', '5,017,833'), ('1975', '4,873,639'), ('1970', '4,713,342'), ('1965', '4,371,527'), ('1960', '4,007,723'), ('1955', '3,713,133'), ('1950', '3,527,008')]"
Liberia,46.66%,"5,057,681","[('2020', '5,057,681'), ('2019', '4,937,374'), ('2018', '4,818,973'), ('2017', '4,702,226'), ('2016', '4,586,787'), ('2015', '4,472,230'), ('2010', '3,891,356'), ('2005', '3,218,116'), ('2000', '2,848,456'), ('1995', '2,044,661'), ('1990', '2,075,912'), ('1985', '2,145,754'), ('1980', '1,853,001'), ('1975', '1,600,452'), ('1970', '1,400,730'), ('1965', '1,245,102'), ('1960', '1,118,657'), ('1955', '1,011,363'), ('1950', '930,030')]"
Armenia,47.95%,"2,963,243","[('2020', '2,963,243'), ('2019', '2,957,731'), ('2018', '2,951,745'), ('2017', '2,944,791'), ('2016', '2,936,143'), ('2015', '2,925,553'), ('2010', '2,877,319'), ('2005', '2,981,269'), ('2000', '3,069,591'), ('1995', '3,217,348'), ('1990', '3,538,171'), ('1985', '3,335,940'), ('1980', '3,099,754'), ('1975', '2,832,759'), ('1970', '2,525,068'), ('1965', '2,211,319'), ('1960', '1,874,121'), ('1955', '1,563,507'), ('1950', '1,353,510')]"
Uzbekistan,23.23%,"33,469,203","[('2020', '33,469,203'), ('2019', '32,981,716'), ('2018', '32,476,244'), ('2017', '31,959,785'), ('2016', '31,441,751'), ('2015', '30,929,557'), ('2010', '28,515,909'), ('2005', '26,427,789'), ('2000', '24,769,955'), ('1995', '22,791,026'), ('1990', '20,398,348'), ('1985', '18,061,284'), ('1980', '15,898,757'), ('1975', '13,857,478'), ('1970', '12,080,317'), ('1965', '10,116,870'), ('1960', '8,526,300'), ('1955', '7,277,333'), ('1950', '6,264,056')]"
